Date,Open,High,Low,Close,Adj Close,Volume,RSI
2016-01-05,6000.0,6200.0,5975.0,6125.0,"3,740.21",54224900.0,100.0
2016-01-06,6100.0,6200.0,6050.0,6075.0,"3,709.68",51121800.0,80.6896551724138
2016-01-07,6000.0,6075.0,5975.0,5975.0,"3,648.61",33606500.0,56.987635818658674
2016-01-08,6000.0,6050.0,5900.0,6050.0,"3,694.41",44221000.0,65.23562160777098
2016-01-11,5975.0,6000.0,5925.0,5950.0,"3,633.35",22517500.0,51.15133173443709
2016-01-12,6000.0,6025.0,5925.0,5925.0,"3,618.08",33527400.0,48.341410416285974
2016-01-13,5975.0,6000.0,5900.0,5900.0,"3,602.82",55453200.0,45.641309514449475
2016-01-14,5850.0,5900.0,5700.0,5875.0,"3,587.55",106709100.0,43.05169222005087
2016-01-15,5925.0,6025.0,5900.0,6000.0,"3,663.88",45096200.0,56.37865606961058
2016-01-18,5900.0,5925.0,5850.0,5900.0,"3,602.82",46582000.0,46.91902778884274
2016-01-19,5900.0,5950.0,5875.0,5925.0,"3,618.08",29404700.0,49.21324487382222
2016-01-20,5900.0,5975.0,5775.0,5775.0,"3,526.49",40416800.0,38.46964639372686
2016-01-21,5850.0,5900.0,5775.0,5850.0,"3,572.28",30584100.0,44.941741974573276
2016-01-22,5925.0,5950.0,5850.0,5900.0,"3,602.82",30574300.0,48.80767056532128
2016-01-25,5950.0,6125.0,5925.0,6125.0,"3,740.21",48946800.0,61.804574537765546
2016-01-26,6075.0,6150.0,6025.0,6125.0,"3,740.21",34222000.0,61.804574537765546
2016-01-27,6175.0,6200.0,6075.0,6150.0,"3,755.48",42405200.0,63.01459375797946
2016-01-28,6150.0,6250.0,6100.0,6250.0,"3,816.54",42142800.0,67.45578425421749
2016-01-29,6275.0,6450.0,6250.0,6450.0,"3,938.67",93248100.0,74.14320171685125
2016-02-01,6500.0,6550.0,6225.0,6350.0,"3,877.61",46908200.0,66.75677091484154
2016-02-02,6275.0,6325.0,6125.0,6125.0,"3,740.21",38539400.0,53.77555435828618
2016-02-03,6050.0,6250.0,6050.0,6200.0,"3,786.01",21859100.0,56.79168944024498
2016-02-04,6200.0,6350.0,6200.0,6325.0,"3,862.34",38429800.0,61.32151954247175
2016-02-05,6375.0,6750.0,6350.0,6650.0,"4,060.80",115340700.0,70.09882033407246
2016-02-09,6550.0,6850.0,6425.0,6775.0,"4,137.13",31786100.0,72.6678910369229
2016-02-10,6750.0,6925.0,6725.0,6800.0,"4,152.40",58736300.0,73.16449725036867
2016-02-11,6850.0,7150.0,6825.0,7125.0,"4,350.86",74601500.0,78.60640136248463
2016-02-12,7100.0,7100.0,6800.0,6825.0,"4,167.66",61372000.0,65.41878764329283
2016-02-15,6925.0,7000.0,6725.0,6775.0,"4,137.13",37761900.0,63.50647137894022
2016-02-16,6800.0,6975.0,6800.0,6900.0,"4,213.46",38840700.0,66.16901403564816
2016-02-17,6850.0,7050.0,6850.0,7000.0,"4,274.53",39761800.0,68.16977452173045
2016-02-18,7050.0,7125.0,6850.0,7050.0,"4,305.06",38708100.0,69.15211168491467
2016-02-19,7000.0,7025.0,6775.0,6900.0,"4,213.46",43553800.0,62.88229056595956
2016-02-22,6825.0,6875.0,6725.0,6750.0,"4,121.87",25152100.0,57.28855120728792
2016-02-23,6725.0,6725.0,6450.0,6525.0,"3,984.47",42602100.0,50.090641281593044
2016-02-24,6400.0,6525.0,6225.0,6400.0,"3,908.14",60482000.0,46.58853140960715
2016-02-25,6325.0,6550.0,6225.0,6425.0,"3,923.41",42169500.0,47.380907222665094
2016-02-26,6525.0,6800.0,6500.0,6800.0,"4,152.40",34794900.0,57.553176135597454
2016-02-29,6825.0,6900.0,6675.0,6800.0,"4,152.40",42601200.0,57.553176135597454
2016-03-01,6825.0,7100.0,6800.0,7000.0,"4,274.53",40094500.0,62.086683706156435
2016-03-02,7100.0,7125.0,7025.0,7100.0,"4,335.59",42478900.0,64.14850537545291
2016-03-03,7125.0,7125.0,6825.0,6875.0,"4,198.20",39931000.0,56.67965551686675
2016-03-04,6900.0,6925.0,6775.0,6900.0,"4,213.46",30088100.0,57.274896039385254
2016-03-07,6850.0,6850.0,6800.0,6850.0,"4,182.93",23020300.0,55.62857988388527
2016-03-08,6800.0,6825.0,6625.0,6725.0,"4,106.60",47476700.0,51.632819270902196
2016-03-10,6725.0,6925.0,6575.0,6925.0,"4,228.73",71040300.0,56.95979246387917
2016-03-15,7200.0,7200.0,7050.0,7100.0,"4,335.59",24666500.0,61.58368321859582
2016-03-16,7175.0,7200.0,7050.0,7200.0,"4,396.66",29764700.0,63.96596298944821
2016-03-17,7300.0,7400.0,7275.0,7325.0,"4,472.99",36783100.0,66.74225140787453
2016-03-18,7450.0,7525.0,7375.0,7450.0,"4,549.32",72816500.0,69.29032282163111
2016-03-21,7425.0,7525.0,7375.0,7450.0,"4,549.32",37093200.0,69.2903228216311
2016-03-22,7450.0,7450.0,7350.0,7450.0,"4,549.32",38063200.0,69.2903228216311
2016-03-23,7400.0,7425.0,7325.0,7400.0,"4,518.79",24535300.0,66.73590267834214
2016-03-24,7350.0,7400.0,7300.0,7375.0,"4,503.52",26111500.0,65.43693782240828
2016-03-28,7300.0,7350.0,7150.0,7250.0,"4,427.19",26220900.0,59.22926404424304
2016-03-29,7150.0,7225.0,7025.0,7075.0,"4,320.33",37987300.0,51.817895528451125
2016-03-30,7150.0,7200.0,7100.0,7100.0,"4,335.59",39256100.0,52.72792073205465
2016-03-31,7150.0,7250.0,7075.0,7250.0,"4,427.19",41751000.0,57.869538690308666
2016-04-01,7350.0,7375.0,7225.0,7325.0,"4,472.99",42054300.0,60.20046114862296
2016-04-04,7325.0,7425.0,7325.0,7400.0,"4,518.79",21813400.0,62.438459152067466
2016-04-05,7375.0,7375.0,7250.0,7275.0,"4,442.46",25273500.0,56.714348322979056
